g E0 Ep1 Epair duration
-2 14.7176 5.01298 9.70461 144
-1.99 14.6613 5.00816 9.65318 176
-1.98 14.605 5.00328 9.60172 182
-1.97 14.5486 4.99836 9.55026 160
-1.96 14.4922 4.9934 9.49878 143
-1.95 14.4357 4.98838 9.44729 133
-1.94 14.3791 4.98331 9.39579 124
-1.93 14.3225 4.97819 9.34426 137
-1.92 14.2658 4.97303 9.29272 133
-1.91 14.209 4.96781 9.24118 128
-1.9 14.1521 4.96254 9.18961 137
-1.89 14.0952 4.95721 9.13802 132
-1.88 14.0383 4.95183 9.08642 137
-1.87 13.9812 4.9464 9.03481 137
-1.86 13.9241 4.94091 8.98318 139
-1.85 13.8669 4.93536 8.93153 137
-1.84 13.8096 4.92976 8.87986 128
-1.83 13.7523 4.9241 8.82819 133
-1.82 13.6949 4.91838 8.77649 137
-1.81 13.6374 4.9126 8.72477 123
-1.8 13.5798 4.90676 8.67304 139
-1.79 13.5221 4.90085 8.62128 137
-1.78 13.4644 4.89489 8.56951 128
-1.77 13.4066 4.88886 8.51772 138
-1.76 13.3487 4.88277 8.46591 137
-1.75 13.2907 4.8766 8.41409 68
-1.74 13.2326 4.87038 8.36224 143
-1.73 13.1745 4.86409 8.31037 137
-1.72 13.1162 4.85772 8.25849 129
-1.71 13.0579 4.85129 8.20658 138
-1.7 12.9994 4.84478 8.15465 173
-1.69 12.9409 4.83821 8.1027 125
-1.68 12.8823 4.83155 8.05073 146
-1.67 12.8236 4.82483 7.99874 133
-1.66 12.7648 4.81803 7.94672 128
-1.65 12.7058 4.81115 7.89469 137
-1.64 12.6468 4.80419 7.84262 122
-1.63 12.5877 4.79715 7.79054 126
-1.62 12.5285 4.79004 7.73844 126
-1.61 12.4691 4.78283 7.6863 122
-1.6 12.4097 4.77555 7.63415 126
-1.59 12.3501 4.76818 7.58197 117
-1.58 12.2905 4.76072 7.52976 121
-1.57 12.2307 4.75318 7.47753 126
-1.56 12.1708 4.74554 7.42528 114
-1.55 12.1108 4.73782 7.373 127
-1.54 12.0507 4.73 7.32068 127
-1.53 11.9904 4.72208 7.26835 118
-1.52 11.9301 4.71407 7.21598 126
-1.51 11.8696 4.70597 7.16359 125
-1.5 11.8089 4.69776 7.11117 59
-1.49 11.7482 4.68945 7.05872 126
-1.48 11.6873 4.68104 7.00624 158
-1.47 11.6262 4.67252 6.95373 120
-1.46 11.5651 4.6639 6.90118 126
-1.45 11.5038 4.65516 6.84861 122
-1.44 11.4423 4.64632 6.79601 113
-1.43 11.3807 4.63736 6.74337 126
-1.42 11.319 4.62829 6.6907 130
-1.41 11.2571 4.6191 6.638 169
-1.4 11.1951 4.6098 6.58526 189
-1.39 11.1329 4.60036 6.53249 183
-1.38 11.0705 4.59081 6.47968 182
-1.37 11.008 4.58113 6.42684 187
-1.36 10.9453 4.57132 6.37396 173
-1.35 10.8824 4.56138 6.32104 178
-1.34 10.8194 4.55131 6.26809 184
-1.33 10.7562 4.54111 6.2151 171
-1.32 10.6928 4.53076 6.16206 127
-1.31 10.6293 4.52027 6.10899 113
-1.3 10.5655 4.50964 6.05588 118
-1.29 10.5016 4.49886 6.00273 121
-1.28 10.4375 4.48794 5.94953 113
-1.27 10.3732 4.47686 5.8963 126
-1.26 10.3086 4.46562 5.84302 151
-1.25 10.2439 4.45423 5.78969 67
-1.24 10.179 4.44267 5.73632 123
-1.23 10.1139 4.43095 5.6829 113
-1.22 10.0485 4.41907 5.62944 101
-1.21 9.98294 4.40701 5.57593 109
-1.2 9.91714 4.39477 5.52237 104
-1.19 9.85113 4.38236 5.46877 106
-1.18 9.78488 4.36977 5.41511 108
-1.17 9.71839 4.35699 5.3614 104
-1.16 9.65167 4.34402 5.30764 110
-1.15 9.5847 4.33086 5.25383 96
-1.14 9.51747 4.3175 5.19997 94
-1.13 9.44999 4.30394 5.14605 97
-1.12 9.38226 4.29018 5.09208 97
-1.11 9.31426 4.27621 5.03805 120
-1.1 9.24598 4.26202 4.98396 114
-1.09 9.17743 4.24762 4.92981 117
-1.08 9.10861 4.233 4.87561 100
-1.07 9.03949 4.21814 4.82135 103
-1.06 8.97008 4.20306 4.76702 95
-1.05 8.90038 4.18774 4.71264 104
-1.04 8.83038 4.17219 4.65819 104
-1.03 8.76006 4.15638 4.60368 119
-1.02 8.68943 4.14033 4.5491 124
-1.01 8.61848 4.12402 4.49446 102
-1 8.54721 4.10745 4.43976 30
-0.99 8.4756 4.09061 4.38498 84
-0.98 8.40365 4.07351 4.33014 87
-0.97 8.33136 4.05613 4.27523 78
-0.96 8.25872 4.03846 4.22026 91
-0.95 8.18573 4.02052 4.16521 87
-0.94 8.11237 4.00228 4.11009 75
-0.93 8.03864 3.98373 4.0549 83
-0.92 7.96453 3.96489 3.99964 81
-0.91 7.89005 3.94574 3.94431 87
-0.9 7.81518 3.92627 3.88891 83
-0.89 7.73992 3.90648 3.83343 81
-0.88 7.66426 3.88637 3.77789 87
-0.87 7.58819 3.86592 3.72227 95
-0.86 7.51172 3.84514 3.66658 81
-0.85 7.43483 3.82402 3.61081 125
-0.84 7.35752 3.80255 3.55498 130
-0.83 7.27979 3.78072 3.49907 121
-0.82 7.20163 3.75853 3.4431 125
-0.81 7.12303 3.73598 3.38705 113
-0.8 7.04401 3.71307 3.33094 137
-0.79 6.96454 3.68978 3.27477 125
-0.78 6.88463 3.6661 3.21853 111
-0.77 6.80428 3.64205 3.16223 123
-0.76 6.72349 3.61762 3.10587 119
-0.75 6.64225 3.59279 3.04946 59
-0.74 6.56056 3.56756 2.993 131
-0.73 6.47844 3.54195 2.93649 160
-0.72 6.39588 3.51594 2.87994 100
-0.71 6.31287 3.48952 2.82335 86
-0.7 6.22944 3.46271 2.76673 88
-0.69 6.14558 3.43549 2.71009 89
-0.68 6.06131 3.40788 2.65343 80
