g E0 Ep1 Epair duration
-0.58 49.2581 37.1943 12.0638 455247
-0.57 48.57 36.9355 11.6345 455622
-0.56 47.8844 36.6759 11.2085 472454
-0.55 47.2019 36.4159 10.7861 468499
-0.54 46.5231 36.1556 10.3675 453295
-0.53 45.8485 35.8953 9.95323 458989
-0.52 45.179 35.6354 9.54354 457057
-0.51 44.515 35.3762 9.13882 458086
-0.5 43.8575 35.1181 8.73945 459846
-0.49 43.2072 34.8614 8.34586 458099
-0.48 42.565 34.6065 7.95848 457849
-0.47 41.9317 34.354 7.57774 461320
-0.46 41.3083 34.1042 7.20411 460028
-0.45 40.6958 33.8577 6.83808 466439
-0.44 40.095 33.6149 6.48012 459930
-0.43 39.5072 33.3764 6.13073 452331
-0.42 38.9332 33.1428 5.79042 453158
-0.41 38.3742 32.9145 5.45968 460456
-0.4 37.8311 32.6921 5.139 463825
-0.39 37.305 32.4762 4.82884 459237
-0.38 36.7969 32.2672 4.52964 460831
-0.37 36.3075 32.0657 4.24181 457802
-0.36 35.8378 31.8721 3.96568 461260
-0.35 35.3882 31.6867 3.70152 458521
-0.34 34.9592 31.5097 3.44949 463682
-0.33 34.551 31.3414 3.20967 473631
-0.32 34.1635 31.1815 2.98199 461774
-0.31 33.7964 31.0301 2.76629 463241
-0.3 33.4489 30.8866 2.56225 463769
-0.29 33.1202 30.7507 2.36944 465591
-0.28 32.809 30.6216 2.18731 463821
-0.27 32.5139 30.4987 2.01523 467360
-0.26 32.2333 30.3808 1.85248 463615
-0.25 31.9653 30.267 1.69831 462831
-0.24 31.7081 30.1562 1.55191 468047
-0.23 31.4596 30.0471 1.4125 466994
-0.22 31.32 30 1.32 466298
-0.21 31.2601 30.0001 1.26004 463939
-0.2 31.2 30 1.2 461659
-0.19 31.14 30 1.14 464798
-0.18 31.08 30 1.08 461535
-0.17 31.02 30 1.02 465097
-0.16 30.96 30 0.96 466060
-0.15 30.9 30 0.9 465663
-0.14 30.84 30 0.84 466321
-0.13 30.78 30 0.78 460578
-0.12 30.72 30 0.72 476580
-0.11 30.66 30 0.66 464758
-0.1 30.6 30 0.6 467966
-0.09 30.54 30 0.54 465169
-0.08 30.48 30 0.48 471895
-0.07 30.42 30 0.42 466100
-0.06 30.36 30 0.36 469970
-0.05 30.3 30 0.3 467414
-0.04 30.24 30 0.24 467889
-0.03 30.18 30 0.18 469028
-0.02 30.12 30 0.12 464640
-0.01 30.06 30 0.06 468116
0.01 29.94 30 -0.06 448041
0.02 29.88 30 -0.12 462727
