g E0 Ep1 Epair duration
-2 4 2.90909 1.09091 283
-1.99 3.99453 2.90422 1.09031 176
-1.98 3.98904 2.89935 1.0897 156
-1.97 3.98353 2.89447 1.08906 152
-1.96 3.97799 2.88959 1.0884 157
-1.95 3.97242 2.8847 1.08772 163
-1.94 3.96683 2.87981 1.08702 152
-1.93 3.96121 2.87492 1.0863 152
-1.92 3.95557 2.87002 1.08555 152
-1.91 3.94991 2.86512 1.08479 149
-1.9 3.94421 2.86022 1.084 161
-1.89 3.9385 2.85531 1.08319 152
-1.88 3.93275 2.8504 1.08235 150
-1.87 3.92698 2.84549 1.0815 151
-1.86 3.92118 2.84057 1.08062 151
-1.85 3.91536 2.83565 1.07971 161
-1.84 3.90951 2.83072 1.07879 151
-1.83 3.90364 2.8258 1.07784 151
-1.82 3.89773 2.82087 1.07686 152
-1.81 3.8918 2.81594 1.07587 151
-1.8 3.88584 2.811 1.07484 164
-1.79 3.87986 2.80606 1.0738 159
-1.78 3.87385 2.80112 1.07272 151
-1.77 3.86781 2.79618 1.07163 156
-1.76 3.86174 2.79123 1.07051 155
-1.75 3.85564 2.78628 1.06936 151
-1.74 3.84952 2.78133 1.06819 157
-1.73 3.84336 2.77638 1.06699 153
-1.72 3.83718 2.77142 1.06576 154
-1.71 3.83097 2.76646 1.06451 155
-1.7 3.82473 2.7615 1.06323 156
-1.69 3.81846 2.75653 1.06193 161
-1.68 3.81216 2.75157 1.0606 163
-1.67 3.80584 2.7466 1.05924 152
-1.66 3.79948 2.74163 1.05785 151
-1.65 3.79309 2.73665 1.05644 154
-1.64 3.78667 2.73168 1.05499 165
-1.63 3.78022 2.7267 1.05352 152
-1.62 3.77375 2.72172 1.05202 150
-1.61 3.76724 2.71674 1.0505 151
-1.6 3.7607 2.71176 1.04894 151
-1.59 3.75412 2.70677 1.04735 160
-1.58 3.74752 2.70179 1.04574 151
-1.57 3.74089 2.6968 1.04409 152
-1.56 3.73422 2.69181 1.04241 172
-1.55 3.72752 2.68682 1.04071 211
-1.54 3.72079 2.68182 1.03897 219
-1.53 3.71403 2.67683 1.0372 209
-1.52 3.70723 2.67183 1.0354 207
-1.51 3.70041 2.66683 1.03357 206
-1.5 3.69354 2.66183 1.03171 209
-1.49 3.68665 2.65683 1.02982 180
-1.48 3.67972 2.65183 1.02789 149
-1.47 3.67276 2.64682 1.02593 147
-1.46 3.66576 2.64182 1.02394 157
-1.45 3.65873 2.63681 1.02192 148
-1.44 3.65167 2.63181 1.01986 141
-1.43 3.64457 2.6268 1.01777 131
-1.42 3.63743 2.62179 1.01564 130
-1.41 3.63026 2.61678 1.01349 130
-1.4 3.62306 2.61176 1.01129 140
-1.39 3.61582 2.60675 1.00906 130
-1.38 3.60854 2.60174 1.0068 123
-1.37 3.60122 2.59672 1.0045 118
-1.36 3.59387 2.59171 1.00217 116
-1.35 3.58649 2.58669 0.999795 117
-1.34 3.57906 2.58167 0.997388 125
-1.33 3.5716 2.57665 0.994945 119
-1.32 3.5641 2.57164 0.992464 118
-1.31 3.55656 2.56662 0.989946 107
-1.3 3.54899 2.5616 0.987391 105
-1.29 3.54137 2.55657 0.984797 105
-1.28 3.53372 2.55155 0.982166 105
-1.27 3.52602 2.54653 0.979495 106
-1.26 3.51829 2.54151 0.976786 106
-1.25 3.51052 2.53648 0.974037 105
-1.24 3.50271 2.53146 0.971249 106
-1.23 3.49485 2.52643 0.968421 105
-1.22 3.48696 2.52141 0.965553 105
-1.21 3.47903 2.51638 0.962643 106
-1.2 3.47105 2.51136 0.959693 105
-1.19 3.46303 2.50633 0.956701 114
-1.18 3.45497 2.5013 0.953667 106
-1.17 3.44687 2.49628 0.950591 106
-1.16 3.43872 2.49125 0.947473 105
-1.15 3.43053 2.48622 0.944311 106
-1.14 3.4223 2.48119 0.941106 105
-1.13 3.41402 2.47616 0.937857 105
-1.12 3.4057 2.47113 0.934564 106
-1.11 3.39733 2.46611 0.931226 106
-1.1 3.38892 2.46108 0.927843 104
-1.09 3.38046 2.45605 0.924414 105
-1.08 3.37196 2.45102 0.920939 104
-1.07 3.36341 2.44599 0.917418 104
-1.06 3.35481 2.44096 0.91385 106
-1.05 3.34616 2.43593 0.910234 105
-1.04 3.33747 2.4309 0.90657 112
-1.03 3.32873 2.42587 0.902858 106
-1.02 3.31994 2.42084 0.899097 105
-1.01 3.3111 2.41581 0.895287 104
-1 3.30221 2.41079 0.891426 104
-0.99 3.29327 2.40576 0.887515 105
-0.98 3.28428 2.40073 0.883553 105
-0.97 3.27524 2.3957 0.879539 105
-0.96 3.26615 2.39067 0.875473 106
-0.95 3.257 2.38565 0.871354 104
-0.94 3.2478 2.38062 0.867182 104
-0.93 3.23855 2.37559 0.862955 124
-0.92 3.22924 2.37057 0.858674 147
-0.91 3.21988 2.36555 0.854338 145
-0.9 3.21047 2.36052 0.849945 154
-0.89 3.201 2.3555 0.845496 145
-0.88 3.19147 2.35048 0.840989 145
